image,expected_concentration,predicted_concentration,absolute_error,error,data
0.25-5_batch1.jpg,0.25,0.27728171696450055,0.027281716964500546,0.027281716964500546,train
0.25-10_batch1.jpg,0.25,0.2156444617747333,0.03435553822526671,-0.03435553822526671,train
0.25-1_batch1.jpg,0.25,0.2767818765321195,0.026781876532119497,0.026781876532119497,train
0.25-7_batch1.jpg,0.25,0.27379493086303874,0.023794930863038743,0.023794930863038743,train
0.25-8_batch1.jpg,0.25,0.24090212045934933,0.009097879540650666,-0.009097879540650666,train
0.5-8_batch1.jpg,0.5,0.5039139719879113,0.003913971987911324,0.003913971987911324,train
0.5-9_batch1.jpg,0.5,0.4786378654053003,0.02136213459469971,-0.02136213459469971,train
0.5-1_batch1.jpg,0.5,0.5689910869204393,0.06899108692043932,0.06899108692043932,train
0.5-3_batch1.jpg,0.5,0.47970911019033124,0.020290889809668755,-0.020290889809668755,train
0.5-10_batch1.jpg,0.5,0.44326071602318073,0.056739283976819266,-0.056739283976819266,train
0.75-10_batch1.jpg,0.75,0.7364963722086806,0.013503627791319417,-0.013503627791319417,train
0.75-1_batch1.jpg,0.75,0.7479003800518065,0.0020996199481935207,-0.0020996199481935207,train
0.75-9_batch1.jpg,0.75,0.7632866667726272,0.013286666772627242,0.013286666772627242,train
0.75-8_batch1.jpg,0.75,0.755959862263504,0.005959862263503979,0.005959862263503979,train
0.75-3_batch1.jpg,0.75,0.756903783691321,0.006903783691321053,0.006903783691321053,train
1.0-6_batch1.jpg,1.0,0.9814017426009745,0.018598257399025542,-0.018598257399025542,train
1.0-2_batch1.jpg,1.0,0.9924477544252692,0.007552245574730776,-0.007552245574730776,train
1.0-10_batch1.jpg,1.0,0.9599861728887351,0.04001382711126489,-0.04001382711126489,train
1.0-4_batch1.jpg,1.0,1.0245140357585907,0.02451403575859068,0.02451403575859068,train
1.0-1_batch1.jpg,1.0,1.022185372217514,0.022185372217514043,0.022185372217514043,train
0.25-9_batch2.jpg,0.25,0.5817439315804886,0.33174393158048865,0.33174393158048865,test
0.25-1_batch2.jpg,0.25,0.8836956314661499,0.6336956314661499,0.6336956314661499,test
0.25-4_batch2.jpg,0.25,0.6356371857625884,0.38563718576258843,0.38563718576258843,test
0.25-7_batch2.jpg,0.25,0.5885179527017446,0.33851795270174456,0.33851795270174456,test
0.25-10_batch2.jpg,0.25,0.6127779362429848,0.3627779362429848,0.3627779362429848,test
0.5-10_batch2.jpg,0.5,0.3006503964363745,0.19934960356362552,-0.19934960356362552,test
0.5-7_batch2.jpg,0.5,0.3862794894431847,0.11372051055681531,-0.11372051055681531,test
0.5-9_batch2.jpg,0.5,0.3896188598182295,0.11038114018177048,-0.11038114018177048,test
0.5-8_batch2.jpg,0.5,0.38703345962993296,0.11296654037006704,-0.11296654037006704,test
0.5-3_batch2.jpg,0.5,0.3509462188850545,0.1490537811149455,-0.1490537811149455,test
0.75-5_batch2.jpg,0.75,0.3734166868983202,0.3765833131016798,-0.3765833131016798,test
0.75-9_batch2.jpg,0.75,0.40913991721445697,0.34086008278554303,-0.34086008278554303,test
0.75-2_batch2.jpg,0.75,0.6546309841153892,0.09536901588461077,-0.09536901588461077,test
0.75-3_batch2.jpg,0.75,0.42342911403107486,0.32657088596892514,-0.32657088596892514,test
0.75-1_batch2.jpg,0.75,0.3789507383853845,0.3710492616146155,-0.3710492616146155,test
1.0-10_batch2.jpg,1.0,0.48137964128882516,0.5186203587111748,-0.5186203587111748,test
1.0-3_batch2.jpg,1.0,0.4601108917532226,0.5398891082467774,-0.5398891082467774,test
1.0-1_batch2.jpg,1.0,0.4088459901540933,0.5911540098459067,-0.5911540098459067,test
1.0-4_batch2.jpg,1.0,0.4688634085284704,0.5311365914715296,-0.5311365914715296,test
1.0-2_batch2.jpg,1.0,0.4377114352537639,0.5622885647462361,-0.5622885647462361,test
